?     1	(("n'", 'est'), ['ce', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_00908', '2', '3'), ('fr-ud-train_00995', '2', '3'), ('fr-ud-train_01334', '5', '6'), ('fr-ud-train_02558', '2', '3'), ('fr-ud-train_02887', '18', '19'), ('fr-ud-train_03316', '2', '3'), ('fr-ud-train_03548', '26', '27'), ('fr-ud-train_04546', '48', '49'), ('fr-ud-train_04650', '2', '3'), ('fr-ud-train_05611', '31', '32'), ('fr-ud-train_05790', '6', '7'), ('fr-ud-train_06701', '2', '3'), ('fr-ud-train_07709', '23', '24'), ('fr-ud-train_08048', '3', '4'), ('fr-ud-train_09857', '2', '3'), ('fr-ud-train_10945', '2', '3'), ('fr-ud-train_11021', '2', '3'), ('fr-ud-train_11774', '2', '3'), ('fr-ud-train_12360', '2', '3'), ('fr-ud-train_12577', '25', '26'), ('fr-ud-train_12870', '15', '16'), ('fr-ud-train_13067', '3', '4'), ('fr-ud-train_13716', '3', '4')], 'advmod - R': [('fr-ud-train_11770', 3, 4)]}
   193	(('commune', 'province'), ['une', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_02586', '4', '13'), ('fr-ud-train_07473', '4', '14')], 'nmod - L': [('fr-ud-train_01223', 8, 18), ('fr-ud-train_12773', 6, 9)]}
   194	(('commune', 'province'), ['la', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_04746', '8', '17'), ('fr-ud-train_09312', '11', '37')], 'nmod - L': [('fr-ud-train_08662', 21, 30)]}
   195	(('commune', 'province'), ['une', "d'", ',', 'de'])	{'NIL': [('fr-ud-train_10349', '7', '17')], 'nmod - L': [('fr-ud-train_13109', 4, 14)]}
   196	(('lors', 'finale'), [0, 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_12484', '1', '11')], 'obl:arg - L': [('fr-ud-train_01231', 1, 4)]}
   197	(('championnats', 'monde'), ['les', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_09863', '12', '33')], 'nmod - L': [('fr-ud-train_01396', 33, 36), ('fr-ud-train_04654', 2, 5), ('fr-ud-train_09195', 2, 5), ('fr-ud-train_09863', 12, 15), ('fr-ud-train_11655', 6, 9), ('fr-ud-train_12109', 9, 12), ('fr-ud-train_12190', 41, 44)]}
   198	(('championnats', 'monde'), ['de', 'de', 'le', '('])	{'NIL': [('fr-ud-train_02846', '21', '55')], 'nmod - L': [('fr-ud-train_02846', 21, 24)]}
   199	(('mésorégion', 'porto'), ['la', 'métropolitaine', 'de', 'alegre'])	{'NIL': [('fr-ud-train_01237', '8', '42')], 'nmod - L': [('fr-ud-train_01237', 8, 11)]}
   200	(('gare', 'gare'), ['la', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_05758', '15', '23'), ('fr-ud-train_13060', '7', '30')], 'conj - L': [('fr-ud-train_01465', 18, 23)]}
   201	(('placer', 'encoche'), ['de', 'le', "l'", '«'])	{'NIL': [('fr-ud-train_01265', '13', '46'), ('fr-ud-train_01265', '13', '57')], 'obl:arg - L': [('fr-ud-train_01265', 13, 18)]}
   202	(('tirette', 'encoche'), ['la', 'immédiatement', "l'", '«'])	{'NIL': [('fr-ud-train_01265', '40', '57')], 'nmod - L': [('fr-ud-train_01265', 40, 46)]}
   203	(('ingénieurs', 'pont'), ['les', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_01276', '4', '40')], 'nmod - L': [('fr-ud-train_01276', 4, 7)]}
   204	(('département', 'commune'), ['le', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_10222', '20', '26')], 'conj - L': [('fr-ud-train_01303', 15, 22)]}
   205	(('obtient', 'capn'), ['et', '2', 'la', 'de'])	{'NIL': [('fr-ud-train_01338', '11', '26')], 'obl:mod - L': [('fr-ud-train_01338', 11, 17)]}
   206	(('compte', 'fabricant'), ['ville', "d'", 'un', 'de'])	{'NIL': [('fr-ud-train_01345', '3', '16')], 'obl:mod - L': [('fr-ud-train_01345', 3, 9)]}
   207	(('comté', 'anglais'), ['le', 'de', 'en', ':'])	{'appos - L': [('fr-ud-train_03599', 2, 7)], 'nmod - L': [('fr-ud-train_01353', 2, 7)]}
   208	(('plus', 'importants'), ['les', 0, 0, 'de'])	{'NIL': [('fr-ud-train_13126', '12', '13'), ('fr-ud-train_14515', '9', '10')], 'advmod - R': [('fr-ud-train_01366', 6, 7), ('fr-ud-train_08597', 17, 18)]}
   209	(('ville', 'district'), ['une', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_03960', '12', '19')], 'nmod - L': [('fr-ud-train_01394', 10, 16)]}
   210	(('est', 'composé'), ['il', 0, 0, 'de'])	{'aux:tense - R': [('fr-ud-train_08187', 2, 3)], 'aux:pass - R': [('fr-ud-train_06319', 13, 14), ('fr-ud-train_09696', 2, 3)]}
   211	(('voie', 'gare'), ['la', 'entre', 'la', 'de'])	{'NIL': [('fr-ud-train_01465', '15', '23')], 'nmod - L': [('fr-ud-train_01465', 15, 18)]}
   212	(('sont', 'qualifiés'), ['groupe', 0, 0, 'pour'])	{'aux:tense - R': [('fr-ud-train_05084', 6, 7)], 'aux:pass - R': [('fr-ud-train_01497', 8, 9)]}
   213	(('située', 'france'), ['église', 'à', 'en', '.'])	{'NIL': [('fr-ud-train_12766', '9', '14')], 'obl:mod - L': [('fr-ud-train_10582', 7, 12), ('fr-ud-train_13094', 9, 14)]}
   214	(('chevalier', 'légion'), ['fait', 'de', 'la', "d'"])	{'NIL': [('fr-ud-train_07411', '8', '16')], 'nmod - L': [('fr-ud-train_13104', 23, 26)]}
   215	(('la', 'royal'), ['de', 0, 0, 'navy'])	{'NIL': [('fr-ud-train_01168', '11', '12')], 'det - R': [('fr-ud-train_02913', 88, 89)]}
   216	(('objets', 'statue'), ['des', 'mis', 'une', 'de'])	{'NIL': [('fr-ud-train_01514', '9', '42')], 'appos - L': [('fr-ud-train_01514', 9, 20)]}
   217	(('km', 'ouest'), ['11', 'à', "l'", 'de'])	{'NIL': [('fr-ud-train_01528', '21', '33')], 'nmod - L': [('fr-ud-train_01528', 21, 24)]}
   218	(('située', 'sud-ouest'), ['est', 'à', 'le', 'de'])	{'obl:mod - L': [('fr-ud-train_08178', 4, 19)], 'obl:arg - L': [('fr-ud-train_05105', 4, 7)]}
   219	(('français', 'ligue'), ['en', ':', 0, 'supérieure'])	{'appos - L': [('fr-ud-train_03937', 7, 9)], 'nmod - R': [('fr-ud-train_01573', 7, 9)]}
   220	(('saison', 'championnat'), ['la', '1958-1959', 'le', 'de'])	{'NIL': [('fr-ud-train_03393', '2', '17')], 'nmod - L': [('fr-ud-train_03393', 2, 6)]}
   221	(('saison', 'championnat'), ['la', '1971-1972', 'le', 'de'])	{'NIL': [('fr-ud-train_07605', '2', '17')], 'nmod - L': [('fr-ud-train_07605', 2, 6)]}
   222	(('où', 'est'), [',', 0, 0, 'la'])	{'NIL': [('fr-ud-train_06528', '44', '45')], 'obl:arg - R': [('fr-ud-train_01629', 38, 39)]}
   223	(('front', 'polisario'), ['le', 0, 0, 'et'])	{'appos - L': [('fr-ud-train_10761', 13, 14)], 'flat:name - L': [('fr-ud-train_03899', 12, 13)]}
   224	(('état', 'fédéré'), ["l'", 0, 0, 'de'])	{'acl - L': [('fr-ud-train_07766', 14, 15)], 'amod - L': [('fr-ud-train_01689', 15, 16)]}
   225	(('est', 'considéré'), [',', 0, 0, 'comme'])	{'aux:pass - R': [('fr-ud-train_12056', 12, 13)], 'aux:tense - R': [('fr-ud-train_11028', 9, 10)]}
   226	(('école', 'contrôleurs'), ["l'", 'de', 'les', 'aériens'])	{'conj - L': [('fr-ud-train_01695', 6, 62)], 'nmod - L': [('fr-ud-train_01695', 6, 9)]}
   227	(('1868', 'astéroïde'), ['(', ')', 'un', 'troyen'])	{'NIL': [('fr-ud-train_01700', '7', '12')], 'nsubj - R': [('fr-ud-train_01700', 2, 12)]}
   228	(('est', 'histoire'), ["c'", 'une', 'autre', 'qui'])	{'NIL': [('fr-ud-train_03997', '3', '13')], 'cop - R': [('fr-ud-train_03997', 9, 13)]}
   229	(('réalisé', 'sorti'), ['américain', 'par', ',', 'en'])	{'NIL': [('fr-ud-train_01870', '14', '19'), ('fr-ud-train_06763', '14', '22')], 'conj - L': [('fr-ud-train_01745', 8, 13), ('fr-ud-train_04893', 12, 18), ('fr-ud-train_10064', 11, 16)]}
   230	(('canal', 'latéral'), ['le', 0, 0, 'à'])	{'amod - L': [('fr-ud-train_07840', 23, 24)], 'appos - L': [('fr-ud-train_01750', 2, 3)]}
   231	(("d'", 'histoire'), ['ou', 'une', 'petite', 'de'])	{'NIL': [('fr-ud-train_09983', '15', '56'), ('fr-ud-train_09983', '15', '66')], 'case - R': [('fr-ud-train_09983', 63, 66)]}
   232	(('plus', 'haut'), ['le', 0, 0, 'de'])	{'NIL': [('fr-ud-train_09910', '11', '12')], 'advmod - R': [('fr-ud-train_03823', 9, 10)]}
   233	(('armée', 'française'), ["l'", 'de', 'terre', 'qui'])	{'NIL': [('fr-ud-train_14263', '14', '17')], 'amod - L': [('fr-ud-train_01775', 13, 16), ('fr-ud-train_14080', 14, 17)]}
   234	(('réfère', 'tour'), ['se', 'à', 'la', 'eiffel'])	{'NIL': [('fr-ud-train_12264', '12', '36')], 'obl:arg - L': [('fr-ud-train_12264', 12, 15)]}
   235	(('bordé', 'nord'), ['est', 'par', 'le', ','])	{'NIL': [('fr-ud-train_13715', '3', '9')], 'obl:mod - L': [('fr-ud-train_12955', 3, 11)]}
   236	(('ans', 'tard'), ['deux', 'plus', 0, ','])	{'NIL': [('fr-ud-train_10931', '2', '4')], 'advmod - L': [('fr-ud-train_02579', 37, 39)]}
   237	(("qu'", 'elle'), [',', 0, 0, 'est'])	{'NIL': [('fr-ud-train_11342', '26', '27')], 'nsubj - L': [('fr-ud-train_11294', 12, 13)]}
   238	(('située', 'point'), ['est', 'à', 'le', 'kilométrique'])	{'obl:mod - L': [('fr-ud-train_12203', 15, 18)], 'obl:arg - L': [('fr-ud-train_01894', 13, 16)]}
   239	(('ligne', 'métro'), ['la', '2', 'le', 'de'])	{'NIL': [('fr-ud-train_10375', '7', '15')], 'nmod - L': [('fr-ud-train_11820', 17, 21)]}
   240	(('situe', 'bord'), ['se', 'à', 'le', 'de'])	{'obl:arg - L': [('fr-ud-train_13294', 4, 7)], 'obl:mod - L': [('fr-ud-train_01924', 6, 18)]}
   241	(("c'", 'un'), [0, 'est', "l'", 'de'])	{'NIL': [('fr-ud-train_05069', '1', '8')], 'nsubj - R': [('fr-ud-train_01925', 1, 4), ('fr-ud-train_08621', 1, 4)]}
   242	(('pour', 'ans'), ['$', 'les', '65', 'et'])	{'NIL': [('fr-ud-train_01926', '9', '18')], 'case - R': [('fr-ud-train_01926', 15, 18)]}
   243	(("c'", 'fin'), [0, 'est', 'la', 'de'])	{'NIL': [('fr-ud-train_08499', '1', '18')], 'nsubj - R': [('fr-ud-train_01939', 1, 5), ('fr-ud-train_02009', 1, 4), ('fr-ud-train_06620', 1, 4)]}
   244	(('fin', 'fin'), ['la', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_05325', '13', '37')], 'conj - L': [('fr-ud-train_01939', 5, 15), ('fr-ud-train_08477', 4, 22)]}
   245	(('état', 'brésil'), ["l'", 'de', 'le', '.'])	{'NIL': [('fr-ud-train_10630', '15', '28')], 'nmod - L': [('fr-ud-train_01946', 7, 13)]}
   246	(('site', 'internet'), ['le', 0, 0, 'de'])	{'nmod - R': [('fr-ud-train_13625', 6, 7)], 'nmod - L': [('fr-ud-train_01990', 4, 5)]}
   247	(('établi', 'université'), ['autres', 'un', "l'", 'de'])	{'NIL': [('fr-ud-train_02008', '17', '41')], 'obl:mod - L': [('fr-ud-train_02008', 17, 32)]}
   248	(('un', 'institut'), ["l'", 'à', "l'", 'technologique'])	{'NIL': [('fr-ud-train_02008', '54', '71')], 'nmod - L': [('fr-ud-train_02008', 54, 57)]}
   249	(('monte', '€'), ['se', 'en', 'k', 'par'])	{'NIL': [('fr-ud-train_02041', '14', '37')], 'obl:arg - L': [('fr-ud-train_02041', 14, 26)]}
   250	(("c'", 'eau'), [',', 'est', "l'", '.'])	{'NIL': [('fr-ud-train_02044', '8', '31')], 'nsubj - R': [('fr-ud-train_02044', 27, 31)]}
   251	(('étude', 'droits'), ["l'", 'de', 'les', 'de'])	{'NIL': [('fr-ud-train_02055', '16', '34')], 'nmod - L': [('fr-ud-train_02055', 16, 19)]}
   252	(("d'", 'enfants'), ['pas', 0, 0, '.'])	{'det - R': [('fr-ud-train_14042', 5, 6)], 'case - R': [('fr-ud-train_11965', 25, 26)]}
   253	(('métrage', 'sorti'), ['court', 'français', ',', 'en'])	{'NIL': [('fr-ud-train_02895', '5', '12')], 'acl - L': [('fr-ud-train_02165', 9, 15)]}
   254	(('théâtre', 'opéra'), ['le', 'bolchoï', "l'", 'de'])	{'NIL': [('fr-ud-train_02172', '7', '45')], 'conj - L': [('fr-ud-train_02172', 7, 39)]}
   255	(('présidents', 'conseils'), ['trois', 'de', 'les', 'de'])	{'NIL': [('fr-ud-train_02174', '11', '38')], 'nmod - L': [('fr-ud-train_02174', 11, 14)]}
   256	(("s'", 'imposer'), ['à', 0, 0, 'comme'])	{'obj - R': [('fr-ud-train_06397', 4, 5)], 'expl:pass - R': [('fr-ud-train_02194', 5, 6)]}
   257	(('obtient', 'prix'), ['il', 'le', 'premier', 'de'])	{'conj - L': [('fr-ud-train_03949', 5, 17)], 'obj - L': [('fr-ud-train_03949', 5, 8), ('fr-ud-train_03949', 33, 36)]}
   258	(('communes', 'commune'), ['les', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_08152', '2', '17'), ('fr-ud-train_14093', '2', '11')], 'conj - L': [('fr-ud-train_02263', 15, 60)]}
   259	(('petronius', 'consul'), ['de', 'probianius', ',', 'en'])	{'NIL': [('fr-ud-train_02280', '15', '43')], 'appos - L': [('fr-ud-train_02280', 15, 18)]}
   260	(('qui', 'est'), ['ce', 0, 0, 'très'])	{'NIL': [('fr-ud-train_09317', '2', '3')], 'nsubj - R': [('fr-ud-train_03636', 13, 14)]}
   261	(('il', 'étend'), [0, "s'", 0, 'sur'])	{'nsubj:pass - R': [('fr-ud-train_11224', 1, 3), ('fr-ud-train_12383', 1, 3)], 'nsubj - R': [('fr-ud-train_07659', 1, 3)]}
   262	(('municipalité', 'district'), ['la', 'de', ',', 'de'])	{'appos - L': [('fr-ud-train_13283', 17, 21), ('fr-ud-train_14346', 17, 21)], 'nmod - L': [('fr-ud-train_02338', 17, 21), ('fr-ud-train_07643', 17, 21)]}
   263	(('situation', 'sahara'), ['la', 'à', 'le', 'occidental'])	{'NIL': [('fr-ud-train_00114', '15', '18')], 'nmod - L': [('fr-ud-train_02339', 11, 14)]}
   264	(('je', 'argent'), ['/', 'serais', 'ton', '/'])	{'NIL': [('fr-ud-train_02371', '39', '47')], 'nsubj - R': [('fr-ud-train_02371', 44, 47)]}
   265	(('je', 'or'), ['/', 'serais', 'ton', '»'])	{'NIL': [('fr-ud-train_02371', '39', '52'), ('fr-ud-train_02371', '44', '52')], 'nsubj - R': [('fr-ud-train_02371', 49, 52)]}
   266	(("qu'", 'un'), ['plus', 0, 0, 'seul'])	{'NIL': [('fr-ud-train_07077', '5', '6')], 'advmod - R': [('fr-ud-train_02406', 8, 9)]}
   267	(('problème', 'sahara'), ['le', 'de', 'le', 'occidental'])	{'NIL': [('fr-ud-train_02414', '8', '61')], 'nmod - L': [('fr-ud-train_02414', 8, 11)]}
   268	(('athlète', 'spécialiste'), ['un', 'américain', ',', 'de'])	{'amod - L': [('fr-ud-train_07026', 12, 15)], 'nmod - L': [('fr-ud-train_06877', 25, 28)]}
   269	(('tournée', 'grand'), ['la', 'de', 'le', 'chelem'])	{'NIL': [('fr-ud-train_02809', '8', '11')], 'nmod - L': [('fr-ud-train_02462', 8, 11)]}
   270	(('grand', 'chelem'), ['le', 0, 0, '.'])	{'amod - R': [('fr-ud-train_02809', 11, 12)], 'flat:name - L': [('fr-ud-train_02462', 11, 12)]}
   271	(('creux', 'carrière'), ['«', 'poussiéreux', '«', '»'])	{'NIL': [('fr-ud-train_02526', '16', '45')], 'conj - L': [('fr-ud-train_02526', 16, 21)]}
   272	(('creux', 'mine'), ['«', 'poussiéreux', '«', '»'])	{'NIL': [('fr-ud-train_02526', '16', '49')], 'conj - L': [('fr-ud-train_02526', 16, 25)]}
   273	(('carrière', 'mine'), ['«', '»', '«', '»'])	{'NIL': [('fr-ud-train_02526', '21', '25')], 'conj - L': [('fr-ud-train_02526', 45, 49)]}
   274	(('médaille', 'catégorie'), ['une', "d'", 'la', 'de'])	{'NIL': [('fr-ud-train_02545', '9', '41')], 'nmod - L': [('fr-ud-train_02545', 9, 19)]}
   275	(('championnat', 'émirats'), ['le', 'de', 'les', 'arabes'])	{'NIL': [('fr-ud-train_02605', '6', '27')], 'nmod - L': [('fr-ud-train_02605', 6, 9)]}
   276	(('est', 'basé'), ['classement', 0, 0, 'sur'])	{'aux:tense - R': [('fr-ud-train_13791', 3, 4)], 'aux:pass - R': [('fr-ud-train_13011', 3, 4)]}
   277	(('coupe', 'football'), ['la', 'de', 'de', '2010'])	{'NIL': [('fr-ud-train_05027', '2', '8')], 'nmod - L': [('fr-ud-train_02631', 3, 8)]}
   278	(('de', 'importantes'), ['une', 'les', 'plus', 'de'])	{'NIL': [('fr-ud-train_12456', '6', '11')], 'case - R': [('fr-ud-train_02637', 11, 14)]}
   279	(('plus', 'importantes'), ['les', 0, 0, 'de'])	{'NIL': [('fr-ud-train_12456', '10', '11')], 'advmod - R': [('fr-ud-train_02637', 13, 14)]}
   280	(('troisième', 'code'), ['le', ',', 'le', 'et'])	{'NIL': [('fr-ud-train_02640', '28', '47')], 'orphan - L': [('fr-ud-train_02640', 28, 31)]}
   281	(('fiba', 'afrique'), ['la', 0, 0, '.'])	{'flat:name - L': [('fr-ud-train_06126', 13, 14)], 'nmod - L': [('fr-ud-train_02644', 12, 13)]}
   282	(('groupe', 'agissant'), ['le', 'spin', ')', 'sur'])	{'NIL': [('fr-ud-train_02671', '26', '44')], 'acl - L': [('fr-ud-train_02671', 26, 31)]}
   283	(('turn', 'dortmund'), ['appellation', '-', 'eintracht', '1848'])	{'NIL': [('fr-ud-train_02728', '8', '18')], 'appos - L': [('fr-ud-train_02728', 8, 13)]}
   284	(('avant', 'fuselage'), ["l'", 'de', 'le', '.'])	{'NIL': [('fr-ud-train_02729', '15', '32')], 'nmod - L': [('fr-ud-train_04361', 23, 26)]}
   285	(('lord', 'mer'), ['1er', 'de', 'la', 'en'])	{'NIL': [('fr-ud-train_02732', '20', '37'), ('fr-ud-train_02732', '20', '47')], 'nmod - L': [('fr-ud-train_02732', 20, 23)]}
   286	(('lord', 'mer'), ['troisième', 'de', 'la', 'en'])	{'NIL': [('fr-ud-train_02732', '34', '47')], 'nmod - L': [('fr-ud-train_02732', 34, 37)]}
   287	(('permet', 'correspondances'), ['t+', 'un', 'plusieurs', 'possibles'])	{'NIL': [('fr-ud-train_12609', '4', '17')], 'obl:mod - L': [('fr-ud-train_12242', 4, 17)]}
   288	(('and', 'roll'), ['rock', 0, 0, ','])	{'NIL': [('fr-ud-train_08747', '10', '11')], 'flat:name - L': [('fr-ud-train_02768', 9, 10)]}
   289	(('a', 'plus'), ['y', 0, 0, 'de'])	{'advmod - L': [('fr-ud-train_12483', 6, 7)], 'obj - L': [('fr-ud-train_07668', 33, 34), ('fr-ud-train_09206', 11, 12)]}
   290	(('a', 'plus'), ['y', 0, 0, "d'"])	{'NIL': [('fr-ud-train_03109', '3', '4')], 'advmod - L': [('fr-ud-train_04354', 4, 5)]}
   291	(('tendance', 'celle'), ['une', 'radicale', ',', 'de'])	{'NIL': [('fr-ud-train_02784', '34', '60')], 'appos - L': [('fr-ud-train_02784', 34, 37)]}
   292	(('il', 'premier'), [0, 'a', 'le', 'de'])	{'NIL': [('fr-ud-train_13016', '1', '131')], 'nsubj - R': [('fr-ud-train_02793', 1, 5)]}
   293	(('de', 'chelem'), ['tournée', 'le', 'grand', '.'])	{'NIL': [('fr-ud-train_02462', '9', '12')], 'case - R': [('fr-ud-train_02809', 9, 12)]}
   294	(('le', 'chelem'), ['de', 'grand', 0, '.'])	{'NIL': [('fr-ud-train_02462', '10', '12')], 'det - R': [('fr-ud-train_02809', 10, 12)]}
   295	(('tournée', 'chelem'), ['la', 'de', 'grand', '.'])	{'NIL': [('fr-ud-train_02462', '8', '12')], 'nmod - L': [('fr-ud-train_02809', 8, 12)]}
   296	(('rembrandt', 'research'), ['le', 0, 0, 'project'])	{'nmod - R': [('fr-ud-train_07670', 22, 23)], 'flat:name - L': [('fr-ud-train_02838', 2, 3)]}
   297	(('research', 'project'), ['rembrandt', 0, 0, '('])	{'nmod - R': [('fr-ud-train_07670', 23, 24)], 'flat:name - L': [('fr-ud-train_02838', 3, 4)]}
   298	(('maghreb', 'islamique'), ['le', 0, 0, '.'])	{'flat:name - L': [('fr-ud-train_04379', 16, 17)], 'amod - L': [('fr-ud-train_02865', 44, 45)]}
   299	(('conseil', 'nations'), ['le', 'de', 'les', 'unies'])	{'NIL': [('fr-ud-train_00068', '6', '55'), ('fr-ud-train_12374', '52', '57')], 'nmod - L': [('fr-ud-train_02867', 20, 25), ('fr-ud-train_05440', 10, 19), ('fr-ud-train_10352', 20, 25)]}
   300	(('milan', 'ac'), ['le', 0, 0, 'est'])	{'nmod - L': [('fr-ud-train_14486', 2, 3)], 'flat:name - L': [('fr-ud-train_12331', 11, 12)]}
   301	(('comité', 'pollution'), ['le', 'consultatif', 'la', 'pétrolière'])	{'NIL': [('fr-ud-train_02913', '142', '163')], 'nmod - L': [('fr-ud-train_02913', 142, 147)]}
   302	(('de', 'conférence'), ['président', 'la', 'troisième', 'internationale'])	{'NIL': [('fr-ud-train_02913', '116', '159')], 'case - R': [('fr-ud-train_02913', 156, 159)]}
   303	(('noms', 'suivent'), ['les', 'de', 'ne', 'pas'])	{'NIL': [('fr-ud-train_02936', '6', '25')], 'nsubj - R': [('fr-ud-train_02936', 20, 25)]}
   304	(('crue', 'doit'), ['une', 'de', 'm3/s', 'survenir'])	{'NIL': [('fr-ud-train_02938', '16', '37')], 'nsubj - R': [('fr-ud-train_02938', 33, 37)]}
   305	(('est', 'tour'), ["c'", 'à', 'le', 'de'])	{'obl:arg - L': [('fr-ud-train_14157', 14, 17)], 'cop - R': [('fr-ud-train_02980', 10, 13)]}
   306	(('où', 'temps'), [',', 'le', 'un', 'mort'])	{'NIL': [('fr-ud-train_02981', '27', '41')], 'advmod - R': [('fr-ud-train_02981', 35, 41)]}
   307	(('droit', 'peuple'), ['le', 'de', 'le', 'sahraoui'])	{'NIL': [('fr-ud-train_13310', '29', '41')], 'nmod - L': [('fr-ud-train_02991', 7, 10)]}
   308	(('ministère', 'finances'), ['le', 'de', 'les', '.'])	{'NIL': [('fr-ud-train_06929', '8', '46'), ('fr-ud-train_06929', '39', '46'), ('fr-ud-train_07690', '18', '25')], 'nmod - L': [('fr-ud-train_13061', 21, 24)]}
   309	(('intercity', 'interregion'), ['trains', '(', ',', '('])	{'NIL': [('fr-ud-train_03054', '7', '12')], 'conj - L': [('fr-ud-train_03025', 22, 27)]}
   310	(('intercity', 'omnibus'), ['trains', '(', ',', '('])	{'NIL': [('fr-ud-train_03054', '7', '17')], 'conj - L': [('fr-ud-train_03025', 22, 32)]}
   311	(('intercity', 'heure'), ['trains', '(', 'et', 'de'])	{'NIL': [('fr-ud-train_03054', '7', '22')], 'conj - L': [('fr-ud-train_03025', 22, 37)]}
   312	(('terre', 'française'), ['de', 0, 0, 'qui'])	{'NIL': [('fr-ud-train_01775', '15', '16'), ('fr-ud-train_14080', '16', '17')], 'amod - L': [('fr-ud-train_14263', 16, 17)]}
   313	(('trains', 'interregion'), ['des', 'intercity', ',', '('])	{'NIL': [('fr-ud-train_03025', '21', '27')], 'conj - L': [('fr-ud-train_03054', 6, 12)]}
   314	(('trains', 'omnibus'), ['des', 'intercity', ',', '('])	{'NIL': [('fr-ud-train_03025', '21', '32')], 'conj - L': [('fr-ud-train_03054', 6, 17)]}
   315	(('trains', 'heure'), ['des', 'intercity', 'et', 'de'])	{'NIL': [('fr-ud-train_03025', '21', '37')], 'conj - L': [('fr-ud-train_03054', 6, 22)]}
   316	(('rue', 'rue'), ['la', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_03104', '2', '14'), ('fr-ud-train_03104', '2', '28'), ('fr-ud-train_03104', '14', '28')], 'conj - L': [('fr-ud-train_04397', 20, 26)]}
   317	(('va', 'rue'), ['qui', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_03104', '11', '28')], 'obl:arg - L': [('fr-ud-train_03104', 11, 14)]}
   318	(('examine', 'projets'), ['il', 'notamment', 'les', 'de'])	{'conj - L': [('fr-ud-train_03131', 2, 28)], 'obj - L': [('fr-ud-train_03131', 2, 5)]}
   319	(('village', 'commune'), ['un', 'belge', 'la', 'de'])	{'NIL': [('fr-ud-train_06186', '11', '23')], 'nmod - L': [('fr-ud-train_04746', 4, 8)]}
   320	(('né', 'paris'), [',', 'le', 'à', ','])	{'NIL': [('fr-ud-train_06718', '4', '20'), ('fr-ud-train_10604', '4', '21')], 'obl:arg - L': [('fr-ud-train_05795', 5, 11), ('fr-ud-train_11666', 4, 10)]}
   321	(('commune', 'département'), ['une', 'française', 'le', 'de'])	{'NIL': [('fr-ud-train_00256', '4', '10'), ('fr-ud-train_00338', '4', '10'), ('fr-ud-train_00946', '4', '10'), ('fr-ud-train_01595', '4', '10'), ('fr-ud-train_01872', '4', '10'), ('fr-ud-train_02158', '4', '10'), ('fr-ud-train_02531', '4', '10'), ('fr-ud-train_02997', '4', '10'), ('fr-ud-train_03602', '4', '10'), ('fr-ud-train_03681', '4', '10'), ('fr-ud-train_03753', '4', '10'), ('fr-ud-train_03782', '4', '10'), ('fr-ud-train_03849', '7', '20'), ('fr-ud-train_04024', '4', '10'), ('fr-ud-train_04559', '4', '10'), ('fr-ud-train_05391', '4', '9'), ('fr-ud-train_05894', '4', '10'), ('fr-ud-train_06061', '4', '10'), ('fr-ud-train_06752', '4', '9'), ('fr-ud-train_08189', '4', '10'), ('fr-ud-train_08884', '4', '10'), ('fr-ud-train_09303', '4', '10'), ('fr-ud-train_09499', '4', '9'), ('fr-ud-train_09874', '4', '10'), ('fr-ud-train_10413', '4', '9'), ('fr-ud-train_10480', '4', '10'), ('fr-ud-train_10550', '4', '10'), ('fr-ud-train_10822', '4', '9'), ('fr-ud-train_11611', '7', '20'), ('fr-ud-train_11636', '4', '10'), ('fr-ud-train_12053', '4', '10'), ('fr-ud-train_12469', '4', '10'), ('fr-ud-train_12493', '4', '10'), ('fr-ud-train_13475', '4', '10')], 'nmod - L': [('fr-ud-train_03239', 4, 13)]}
   322	(('commune', 'département'), ['une', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_12304', '4', '35')], 'nmod - L': [('fr-ud-train_12531', 9, 12)]}
   323	(('encore', 'service'), ['sont', 'en', 0, ','])	{'NIL': [('fr-ud-train_04104', '29', '31')], 'advmod - R': [('fr-ud-train_03277', 14, 16)]}
   324	(('dépit', 'centaines'), ['en', 'de', 'quelques', 'de'])	{'NIL': [('fr-ud-train_03326', '2', '59')], 'obl:mod - R': [('fr-ud-train_03326', 38, 59)]}
   325	(('état', 'états-unis'), ["l'", 'de', 'les', '.'])	{'NIL': [('fr-ud-train_02197', '16', '23'), ('fr-ud-train_03599', '20', '27'), ('fr-ud-train_13619', '20', '26')], 'nmod - L': [('fr-ud-train_09769', 16, 23), ('fr-ud-train_12494', 18, 24)]}
